0;1;2
C1.03.01.03.01::epietro;3;
C1.03.01.03.01::epietro;4;
C1.03.01.03.01::epietro;5;
C1.03.01.03.01::epietro;6;
C1.03.01.03.01::epietro;7;
C1.03.01.03.01::epietro;8;
C1.03.01.03.01.02::rcaline;1;
C1.03.01.03.01.02::rcaline;2;
C1.03.01.03.01.02::rcaline;3;
C1.03.01.03.01.02::rcaline;4;
C1.03.01.03.01.02::rcaline;5;
C1.03.01.03.01.02::rcaline;6;
C1.03.01.03.01.02::rcaline;7;
C1.03.01.03.01.02::rcaline;8;
C1.03.01.03.01.02::celizabeth;1;51.16
C1.03.01.03.01.02::celizabeth;2;52.0
C1.03.01.03.01.02::celizabeth;3;50.3
C1.03.01.03.01.02::celizabeth;4;49.06
C1.03.01.03.01.02::celizabeth;5;87.24
C1.03.01.03.01.02::celizabeth;6;85.59
C1.03.01.03.01.02::celizabeth;7;
C1.03.01.03.01.02::celizabeth;8;
C1.03.01.03.01.02::crobson;1;
C1.03.01.03.01.02::crobson;2;
C1.03.01.03.01.02::crobson;3;
C1.03.01.03.01.02::crobson;4;
C1.03.01.03.01.02::crobson;5;
C1.03.01.03.01.02::crobson;6;
C1.03.01.03.01.02::crobson;7;
C1.03.01.03.01.02::crobson;8;
C1.03.01.03.01.01::rlorrana;1;
C1.03.01.03.01.01::rlorrana;2;
C1.03.01.03.01.01::rlorrana;3;
C1.03.01.03.01.01::rlorrana;4;
C1.03.01.03.01.01::rlorrana;5;
C1.03.01.03.01.01::rlorrana;6;
C1.03.01.03.01.01::rlorrana;7;
C1.03.01.03.01.01::rlorrana;8;
C1.03.01.03.01.01::vamkt;1;
C1.03.01.03.01.01::vamkt;2;
C1.03.01.03.01.01::vamkt;3;
C1.03.01.03.01.01::vamkt;4;
C1.03.01.03.01.01::vamkt;5;
C1.03.01.03.01.01::vamkt;6;
C1.03.01.03.01.01::vamkt;7;
C1.03.01.03.01.01::vamkt;8;
C1.03.01.03.01.01::lmanuella;1;
C1.03.01.03.01.01::lmanuella;2;
C1.03.01.03.01.01::lmanuella;3;
C1.03.01.03.01.01::lmanuella;4;
C1.03.01.03.01.01::lmanuella;5;
C1.03.01.03.01.01::lmanuella;6;
C1.03.01.03.01.01::lmanuella;7;
C1.03.01.03.01.01::lmanuella;8;
C1.03.01.03.01.01::OP001epietro;1;
C1.03.01.03.01.01::OP001epietro;2;
C1.03.01.03.01.01::OP001epietro;3;
C1.03.01.03.01.01::OP001epietro;4;
C1.03.01.03.01.01::OP001epietro;5;
C1.03.01.03.01.01::OP001epietro;6;
C1.03.01.03.01.01::OP001epietro;7;
C1.03.01.03.01.01::OP001epietro;8;
C1.01.04.04::lthaissa;1;67.72
C1.01.04.04::lthaissa;2;63.83
C1.01.04.04::lthaissa;3;45.33
C1.01.04.04::lthaissa;4;45.17
C1.01.04.04::lthaissa;5;86.63
C1.01.04.04::lthaissa;6;88.57
C1.01.04.04::lthaissa;7;0.0
C1.01.04.04::lthaissa;8;
C1.03.09.12::hluis;1;58.68
C1.03.09.12::hluis;2;53.86
C1.03.09.12::hluis;3;54.69
C1.03.09.12::hluis;4;54.1
C1.03.09.12::hluis;5;63.19
C1.03.09.12::hluis;6;73.84
C1.03.09.12::hluis;7;0.0
C1.03.09.12::hluis;8;
C1.03.06.03.01::skelly;1;
C1.03.06.03.01::skelly;2;
C1.03.06.03.01::skelly;3;
C1.03.06.03.01::skelly;4;
C1.03.06.03.01::skelly;5;
C1.03.06.03.01::skelly;6;
C1.03.06.03.01::skelly;7;
C1.03.06.03.01::skelly;8;
C1.03.06.03.01::OP001qheli;1;
C1.03.06.03.01::OP001qheli;2;
C1.03.06.03.01::OP001qheli;3;
C1.03.06.03.01::OP001qheli;4;
C1.03.06.03.01::OP001qheli;5;
C1.03.06.03.01::OP001qheli;6;
C1.03.06.03.01::OP001qheli;7;
C1.03.06.03.01::OP001qheli;8;
C1.03.06.03.01::srafael;1;38.32
C1.03.06.03.01::srafael;2;63.27
C1.03.06.03.01::srafael;3;53.72
C1.03.06.03.01::srafael;4;52.59
C1.03.06.03.01::srafael;5;38.76
C1.03.06.03.01::srafael;6;53.9
C1.03.06.03.01::srafael;7;
C1.03.06.03.01::srafael;8;
C1.03.06.03.01.02::faniribeiro7;1;
C1.03.06.03.01.02::faniribeiro7;2;
C1.03.06.03.01.02::faniribeiro7;3;
C1.03.06.03.01.02::faniribeiro7;4;
C1.03.06.03.01.02::faniribeiro7;5;
C1.03.06.03.01.02::faniribeiro7;6;
C1.03.06.03.01.02::faniribeiro7;7;
C1.03.06.03.01.02::faniribeiro7;8;
C1.03.06.03.01.02::channah;1;
C1.03.06.03.01.02::channah;2;
C1.03.06.03.01.02::channah;3;
C1.03.06.03.01.02::channah;4;
C1.03.06.03.01.02::channah;5;
C1.03.06.03.01.02::channah;6;
C1.03.06.03.01.02::channah;7;
C1.03.06.03.01.02::channah;8;
C1.03.06.03.01.02::bwarmeson;1;
C1.03.06.03.01.02::bwarmeson;2;
C1.03.06.03.01.02::bwarmeson;3;
C1.03.06.03.01.02::bwarmeson;4;
C1.03.06.03.01.02::bwarmeson;5;
C1.03.06.03.01.02::bwarmeson;6;
C1.03.06.03.01.02::bwarmeson;7;
C1.03.06.03.01.02::bwarmeson;8;
C1.03.06.03.01.01::qluciana;1;
C1.03.06.03.01.01::qluciana;2;
C1.03.06.03.01.01::qluciana;3;
C1.03.06.03.01.01::qluciana;4;
C1.03.06.03.01.01::qluciana;5;
C1.03.06.03.01.01::qluciana;6;
C1.03.06.03.01.01::qluciana;7;
C1.03.06.03.01.01::qluciana;8;
C1.03.06.03.01.01::mvinicius;1;
C1.03.06.03.01.01::mvinicius;2;
C1.03.06.03.01.01::mvinicius;3;
C1.03.06.03.01.01::mvinicius;4;
C1.03.06.03.01.01::mvinicius;5;
C1.03.06.03.01.01::mvinicius;6;
C1.03.06.03.01.01::mvinicius;7;
C1.03.06.03.01.01::mvinicius;8;
C1.03.06.03.01.01.02::laline;1;
C1.03.06.03.01.01.02::laline;2;
C1.03.06.03.01.01.02::laline;3;
C1.03.06.03.01.01.02::laline;4;
C1.03.06.03.01.01.02::laline;5;
C1.03.06.03.01.01.02::laline;6;
C1.03.06.03.01.01.02::laline;7;
C1.03.06.03.01.01.02::laline;8;
C1.03.06.03.01.01.02::slarisse;1;26.0
C1.03.06.03.01.01.02::slarisse;2;26.0
C1.03.06.03.01.01.02::slarisse;3;26.0
C1.03.06.03.01.01.02::slarisse;4;26.0
C1.03.06.03.01.01.02::slarisse;5;78.44
C1.03.06.03.01.01.02::slarisse;6;79.86
C1.03.06.03.01.01.02::slarisse;7;
C1.03.06.03.01.01.02::slarisse;8;
C1.03.06.03.01.01.02::pnatalia;1;
C1.03.06.03.01.01.02::pnatalia;2;
C1.03.06.03.01.01.02::pnatalia;3;
C1.03.06.03.01.01.02::pnatalia;4;
C1.03.06.03.01.01.02::pnatalia;5;
C1.03.06.03.01.01.02::pnatalia;6;
