0;1
C1.03.07.03.01.02::MKT_049::2023/6;PSRG
C1.03.07.03.01.02::MKT_049::2023/7;PSRG
C1.03.07.03.01.02::MKT_049::2023/8;PSRG
C1.03.07.03.01.02::MKT_049::2023/9;PSRG
C1.03.07.03.01.02::MKT_049::2023/10;PSRG
C1.03.07.03.01.02::MKT_049::2023/11;PSRG
C1.03.07.03.01.02::MKT_049::2023/12;PSRG
C1.03.07.03.01.02::MKT_050::2023/1;PSRG
C1.03.07.03.01.02::MKT_050::2023/2;PSRG
C1.03.07.03.01.02::MKT_050::2023/3;PSRG
C1.03.07.03.01.02::MKT_050::2023/4;PSRG
C1.03.07.03.01.02::MKT_050::2023/5;PSRG
C1.03.07.03.01.02::MKT_050::2023/6;PSRG
C1.03.07.03.01.02::MKT_050::2023/7;PSRG
C1.03.07.03.01.02::MKT_050::2023/8;PSRG
C1.03.07.03.01.02::MKT_050::2023/9;PSRG
C1.03.07.03.01.02::MKT_050::2023/10;PSRG
C1.03.07.03.01.02::MKT_050::2023/11;PSRG
C1.03.07.03.01.02::MKT_050::2023/12;PSRG
C1.03.07.03.01.02::MKT_051::2023/1;PSRG
C1.03.07.03.01.02::MKT_051::2023/2;PSRG
C1.03.07.03.01.02::MKT_051::2023/3;PSRG
C1.03.07.03.01.02::MKT_051::2023/4;PSRG
C1.03.07.03.01.02::MKT_051::2023/5;PSRG
C1.03.07.03.01.02::MKT_051::2023/6;PSRG
C1.03.07.03.01.02::MKT_051::2023/7;PSRG
C1.03.07.03.01.02::MKT_051::2023/8;PSRG
C1.03.07.03.01.02::MKT_051::2023/9;PSRG
C1.03.07.03.01.02::MKT_051::2023/10;PSRG
C1.03.07.03.01.02::MKT_051::2023/11;PSRG
C1.03.07.03.01.02::MKT_051::2023/12;PSRG
C1.03.07.03.01.02::MKT_052::2023/1;PSRG
C1.03.07.03.01.02::MKT_052::2023/2;PSRG
C1.03.07.03.01.02::MKT_052::2023/3;PSRG
C1.03.07.03.01.02::MKT_052::2023/4;PSRG
C1.03.07.03.01.02::MKT_052::2023/5;PSRG
C1.03.07.03.01.02::MKT_052::2023/6;PSRG
C1.03.07.03.01.02::MKT_052::2023/7;PSRG
C1.03.07.03.01.02::MKT_052::2023/8;PSRG
C1.03.07.03.01.02::MKT_052::2023/9;PSRG
C1.03.07.03.01.02::MKT_052::2023/10;PSRG
C1.03.07.03.01.02::MKT_052::2023/11;PSRG
C1.03.07.03.01.02::MKT_052::2023/12;PSRG
C1.03.01.03.01::MKT_053::2023/1;PSSG
C1.03.01.03.01::MKT_053::2023/2;PSSG
C1.03.01.03.01::MKT_053::2023/3;PSSG
C1.03.01.03.01::MKT_053::2023/4;PSSG
C1.03.01.03.01::MKT_053::2023/5;PSSG
C1.03.01.03.01::MKT_053::2023/6;PSSG
C1.03.01.03.01::MKT_053::2023/7;PSSG
C1.03.01.03.01::MKT_053::2023/8;PSSG
C1.03.01.03.01::MKT_053::2023/9;PSSG
C1.03.01.03.01::MKT_053::2023/10;PSSG
C1.03.01.03.01::MKT_053::2023/11;PSSG
C1.03.01.03.01::MKT_053::2023/12;PSSG
C1.03.01.03.01::MKT_054::2023/1;PSSG
C1.03.01.03.01::MKT_054::2023/2;PSSG
C1.03.01.03.01::MKT_054::2023/3;PSSG
C1.03.01.03.01::MKT_054::2023/4;PSSG
C1.03.01.03.01::MKT_054::2023/5;PSSG
C1.03.01.03.01::MKT_054::2023/6;PSSG
C1.03.01.03.01::MKT_054::2023/7;PSSG
C1.03.01.03.01::MKT_054::2023/8;PSSG
C1.03.01.03.01::MKT_054::2023/9;PSSG
C1.03.01.03.01::MKT_054::2023/10;PSSG
C1.03.01.03.01::MKT_054::2023/11;PSSG
C1.03.01.03.01::MKT_054::2023/12;PSSG
C1.03.01.03.01::MKT_056::2023/1;PSSG
C1.03.01.03.01::MKT_056::2023/2;PSSG
C1.03.01.03.01::MKT_056::2023/3;PSSG
C1.03.01.03.01::MKT_056::2023/4;PSSG
C1.03.01.03.01::MKT_056::2023/5;PSSG
C1.03.01.03.01::MKT_056::2023/6;PSSG
C1.03.01.03.01::MKT_056::2023/7;PSSG
C1.03.01.03.01::MKT_056::2023/8;PSSG
C1.03.01.03.01::MKT_056::2023/9;PSSG
C1.03.01.03.01::MKT_056::2023/10;PSSG
C1.03.01.03.01::MKT_056::2023/11;PSSG
C1.03.01.03.01::MKT_056::2023/12;PSSG
C1.03.01.03.01::MKT_057::2023/1;PSSG
C1.03.01.03.01::MKT_057::2023/2;PSSG
C1.03.01.03.01::MKT_057::2023/3;PSSG
C1.03.01.03.01::MKT_057::2023/4;PSSG
C1.03.01.03.01::MKT_057::2023/5;PSSG
C1.03.01.03.01::MKT_057::2023/6;PSSG
C1.03.01.03.01::MKT_057::2023/7;PSSG
C1.03.01.03.01::MKT_057::2023/8;PSSG
C1.03.01.03.01::MKT_057::2023/9;PSSG
C1.03.01.03.01::MKT_057::2023/10;PSSG
C1.03.01.03.01::MKT_057::2023/11;PSSG
C1.03.01.03.01::MKT_057::2023/12;PSSG
C1.03.01.03.01.02::MKT_058::2023/1;PSSG
C1.03.01.03.01.02::MKT_058::2023/2;PSSG
C1.03.01.03.01.02::MKT_058::2023/3;PSSG
C1.03.01.03.01.02::MKT_058::2023/4;PSSG
C1.03.01.03.01.02::MKT_058::2023/5;PSSG
C1.03.01.03.01.02::MKT_058::2023/6;PSSG
C1.03.01.03.01.02::MKT_058::2023/7;PSSG
C1.03.01.03.01.02::MKT_058::2023/8;PSSG
C1.03.01.03.01.02::MKT_058::2023/9;PSSG
C1.03.01.03.01.02::MKT_058::2023/10;PSSG
C1.03.01.03.01.02::MKT_058::2023/11;PSSG
C1.03.01.03.01.02::MKT_058::2023/12;PSSG
C1.03.01.03.01.02::MKT_059::2023/1;PSSG
C1.03.01.03.01.02::MKT_059::2023/2;PSSG
C1.03.01.03.01.02::MKT_059::2023/3;PSSG
C1.03.01.03.01.02::MKT_059::2023/4;PSSG
C1.03.01.03.01.02::MKT_059::2023/5;PSSG
C1.03.01.03.01.02::MKT_059::2023/6;PSSG
C1.03.01.03.01.02::MKT_059::2023/7;PSSG
C1.03.01.03.01.02::MKT_059::2023/8;PSSG
C1.03.01.03.01.02::MKT_059::2023/9;PSSG
C1.03.01.03.01.02::MKT_059::2023/10;PSSG
C1.03.01.03.01.02::MKT_059::2023/11;PSSG
C1.03.01.03.01.02::MKT_059::2023/12;PSSG
C1.03.01.03.01.02::MKT_060::2023/1;PSSG
C1.03.01.03.01.02::MKT_060::2023/2;PSSG
C1.03.01.03.01.02::MKT_060::2023/3;PSSG
C1.03.01.03.01.02::MKT_060::2023/4;PSSG
C1.03.01.03.01.02::MKT_060::2023/5;PSSG
C1.03.01.03.01.02::MKT_060::2023/6;PSSG
C1.03.01.03.01.02::MKT_060::2023/7;PSSG
C1.03.01.03.01.02::MKT_060::2023/8;PSSG
C1.03.01.03.01.02::MKT_060::2023/9;PSSG
C1.03.01.03.01.02::MKT_060::2023/10;PSSG
C1.03.01.03.01.02::MKT_060::2023/11;PSSG
C1.03.01.03.01.02::MKT_060::2023/12;PSSG
C1.03.01.03.01.02::MKT_061::2023/1;PSSG
C1.03.01.03.01.02::MKT_061::2023/2;PSSG
C1.03.01.03.01.02::MKT_061::2023/3;PSSG
C1.03.01.03.01.02::MKT_061::2023/4;PSSG
C1.03.01.03.01.02::MKT_061::2023/5;PSSG
C1.03.01.03.01.02::MKT_061::2023/6;PSSG
C1.03.01.03.01.02::MKT_061::2023/7;PSSG
C1.03.01.03.01.02::MKT_061::2023/8;PSSG
C1.03.01.03.01.02::MKT_061::2023/9;PSSG
C1.03.01.03.01.02::MKT_061::2023/10;PSSG
C1.03.01.03.01.02::MKT_061::2023/11;PSSG
C1.03.01.03.01.02::MKT_061::2023/12;PSSG
C1.03.05.03.01::MKT_076::2023/1;PSMO
C1.03.05.03.01::MKT_076::2023/2;PSMO
C1.03.05.03.01::MKT_076::2023/3;PSMO
C1.03.05.03.01::MKT_076::2023/4;PSMO
C1.03.05.03.01::MKT_076::2023/5;PSMO
C1.03.05.03.01::MKT_076::2023/6;PSMO
C1.03.05.03.01::MKT_076::2023/7;PSMO
C1.03.05.03.01::MKT_076::2023/8;PSMO
C1.03.05.03.01::MKT_076::2023/9;PSMO
C1.03.05.03.01::MKT_076::2023/10;PSMO
C1.03.05.03.01::MKT_076::2023/11;PSMO
C1.03.05.03.01::MKT_076::2023/12;PSMO
C1.03.05.03.01::MKT_077::2023/1;PSMO
C1.03.05.03.01::MKT_077::2023/2;PSMO
C1.03.05.03.01::MKT_077::2023/3;PSMO
C1.03.05.03.01::MKT_077::2023/4;PSMO
C1.03.05.03.01::MKT_077::2023/5;PSMO
C1.03.05.03.01::MKT_077::2023/6;PSMO
C1.03.05.03.01::MKT_077::2023/7;PSMO
C1.03.05.03.01::MKT_077::2023/8;PSMO
C1.03.05.03.01::MKT_077::2023/9;PSMO
C1.03.05.03.01::MKT_077::2023/10;PSMO
C1.03.05.03.01::MKT_077::2023/11;PSMO
C1.03.05.03.01::MKT_077::2023/12;PSMO
C1.03.05.03.01::MKT_079::2023/1;PSMO
C1.03.05.03.01::MKT_079::2023/2;PSMO
C1.03.05.03.01::MKT_079::2023/3;PSMO
C1.03.05.03.01::MKT_079::2023/4;PSMO
C1.03.05.03.01::MKT_079::2023/5;PSMO
C1.03.05.03.01::MKT_079::2023/6;PSMO
C1.03.05.03.01::MKT_079::2023/7;PSMO
C1.03.05.03.01::MKT_079::2023/8;PSMO
C1.03.05.03.01::MKT_079::2023/9;PSMO
C1.03.05.03.01::MKT_079::2023/10;PSMO
C1.03.05.03.01::MKT_079::2023/11;PSMO
C1.03.05.03.01::MKT_079::2023/12;PSMO
C1.03.05.03.01::MKT_080::2023/1;PSMO
C1.03.05.03.01::MKT_080::2023/2;PSMO
C1.03.05.03.01::MKT_080::2023/3;PSMO
C1.03.05.03.01::MKT_080::2023/4;PSMO
C1.03.05.03.01::MKT_080::2023/5;PSMO
C1.03.05.03.01::MKT_080::2023/6;PSMO
C1.03.05.03.01::MKT_080::2023/7;PSMO
C1.03.05.03.01::MKT_080::2023/8;PSMO
C1.03.05.03.01::MKT_080::2023/9;PSMO
C1.03.05.03.01::MKT_080::2023/10;PSMO
C1.03.05.03.01::MKT_080::2023/11;PSMO
C1.03.05.03.01::MKT_080::2023/12;PSMO
C1.03.09.05::MKT_146::2023/1;PSAR
C1.03.09.05::MKT_146::2023/2;PSAR
C1.03.09.05::MKT_146::2023/3;PSAR
C1.03.09.05::MKT_146::2023/4;PSAR
C1.03.09.05::MKT_146::2023/5;PSAR
C1.03.09.05::MKT_146::2023/6;PSAR
C1.03.09.05::MKT_146::2023/7;PSAR
C1.03.09.05::MKT_146::2023/8;PSAR
C1.03.09.05::MKT_146::2023/9;PSAR
C1.03.09.05::MKT_146::2023/10;PSAR
C1.03.09.05::MKT_146::2023/11;PSAR
C1.03.09.05::MKT_146::2023/12;PSAR
C1.03.09.05::MKT_147::2023/1;PSAR
C1.03.09.05::MKT_147::2023/2;PSAR
C1.03.09.05::MKT_147::2023/3;PSAR
C1.03.09.05::MKT_147::2023/4;PSAR
C1.03.09.05::MKT_147::2023/5;PSAR
C1.03.09.05::MKT_147::2023/6;PSAR
C1.03.09.05::MKT_147::2023/7;PSAR
C1.03.09.05::MKT_147::2023/8;PSAR
C1.03.09.05::MKT_147::2023/9;PSAR
C1.03.09.05::MKT_147::2023/10;PSAR
C1.03.09.05::MKT_147::2023/11;PSAR
C1.03.09.05::MKT_147::2023/12;PSAR
C1.03.09.05::MKT_149::2023/1;PSAR
C1.03.09.05::MKT_149::2023/2;PSAR
C1.03.09.05::MKT_149::2023/3;PSAR
C1.03.09.05::MKT_149::2023/4;PSAR
C1.03.09.05::MKT_149::2023/5;PSAR
C1.03.09.05::MKT_149::2023/6;PSAR
C1.03.09.05::MKT_149::2023/7;PSAR
C1.03.09.05::MKT_149::2023/8;PSAR
C1.03.09.05::MKT_149::2023/9;PSAR
C1.03.09.05::MKT_149::2023/10;PSAR
